,Actual Mixture,Fructose,HMF,Levulinic Acid,Formic Acid,Sum
1322.949,0.005463141,0.001857501,0.001177852,0.001872054,-3.00E-05,0.00488
1324.878,0.005478568,0.002184083,9.80E-04,0.002076925,2.86E-04,0.00553
1326.806,0.005345818,0.002280773,0.001122455,0.002065578,2.57E-04,0.00573
1328.735,0.005726684,0.002263421,0.001015828,0.002130317,4.22E-04,0.00583
1330.663,0.006346234,0.002570437,9.59E-04,0.002160634,5.85E-04,0.00628
1332.592,0.006777051,0.00290975,0.001262123,0.002189021,4.43E-04,0.0068
1334.52,0.00716574,0.002750514,0.001269496,0.002490368,4.22E-04,0.00693
1336.449,0.007870457,0.002689368,0.001127896,0.002738724,4.66E-04,0.00702
1338.377,0.008386987,0.003048032,0.001403928,0.003056959,6.67E-04,0.00818
1340.306,0.008707284,0.003448375,0.001702291,0.003024901,5.73E-04,0.00875
1342.234,0.008848723,0.003488759,0.001697722,0.003192614,5.53E-04,0.00893
1344.163,0.00890342,0.003366283,0.001808376,0.003374785,6.06E-04,0.00916
1346.091,0.00896504,0.003338867,0.001646537,0.00332134,5.09E-04,0.00882
1348.02,0.009244207,0.00347429,0.001826246,0.003546824,5.42E-04,0.00939
1349.948,0.009583166,0.003398334,0.002234488,0.004115122,7.65E-04,0.0105
1351.877,0.009831963,0.002970638,0.001989837,0.004397601,9.48E-04,0.0103
1353.805,0.010067583,0.002890692,0.001476099,0.004535326,8.18E-04,0.00972
1355.734,0.01037273,0.003058445,0.001551189,0.004888966,7.59E-04,0.0103
1357.662,0.010815219,0.002850579,0.001984651,0.005305649,8.71E-04,0.011
1359.591,0.010928016,0.002566483,0.002179306,0.005535876,6.17E-04,0.0109
1361.519,0.011058796,0.002359195,0.001948459,0.005387092,4.45E-04,0.0101
1363.448,0.011223283,0.001938941,0.001629621,0.00537393,7.44E-04,0.00969
1365.376,0.011740272,0.001967189,0.001563756,0.005815645,0.001119174,0.0105
1367.305,0.012086179,0.002409438,0.002115353,0.006223333,0.00124254,0.012
1369.233,0.012384759,0.002549502,0.002524033,0.00644329,0.00144661,0.013
1371.161,0.012852519,0.002682746,0.002669164,0.006873739,0.001396654,0.0136
1373.09,0.013088145,0.002650589,0.002388201,0.006902414,0.001291458,0.0132
1375.019,0.013221802,0.002339774,0.002073817,0.00661944,0.001719619,0.0128
1376.947,0.012926342,0.002237439,0.001927462,0.006267247,0.001800722,0.0122
1378.875,0.012350652,0.002328182,0.001617681,0.006114081,0.001449358,0.0115
1380.804,0.011505178,0.002377917,0.0015916,0.005649436,0.001507096,0.0111
1382.733,0.010880155,0.002487108,0.001621571,0.004924631,0.001782601,0.0108
1384.661,0.010725785,0.002396842,0.001513325,0.004512758,0.002052968,0.0105
1386.589,0.010843315,0.002456286,0.001615531,0.004354514,0.002267394,0.0107
1388.518,0.011092521,0.002629699,0.001921602,0.004488634,0.002144383,0.0112
1390.447,0.011743398,0.002892263,0.001955507,0.004876279,0.002053434,0.0118
1392.375,0.012488218,0.003101687,0.001962022,0.004835206,0.002300002,0.0122
1394.303,0.013252658,0.002802421,0.002394199,0.004756774,0.00247991,0.0124
1396.232,0.014157204,0.002592224,0.003090901,0.005146885,0.002616052,0.0134
1398.161,0.015445161,0.002702388,0.003587353,0.00573071,0.002617955,0.0146
1400.089,0.016705911,0.002838542,0.004172356,0.006782909,0.002464559,0.0163
1402.017,0.016989071,0.003191096,0.00414519,0.007416606,0.002379559,0.0171
1403.946,0.016248187,0.003594289,0.003669582,0.007262785,0.002442593,0.017
1405.875,0.015508264,0.003812743,0.003255685,0.006796321,0.002378419,0.0162
1407.803,0.014534564,0.003661287,0.002759433,0.006192847,0.002090433,0.0147
1409.731,0.013723484,0.003577881,0.002226551,0.005598436,0.0019174,0.0133
1411.66,0.01326405,0.003752544,0.001746613,0.005254392,0.001974692,0.0127
1413.589,0.012554647,0.003905468,0.001605701,0.004895861,0.001794434,0.0122
1415.517,0.012145347,0.003812042,0.001610929,0.004745435,0.001506609,0.0117
1417.445,0.012201417,0.003691196,0.001610704,0.004749795,0.001610316,0.0117
1419.374,0.011674713,0.003848659,0.001787984,0.004593125,0.001654055,0.0119
1421.302,0.011121993,0.003692803,0.00184681,0.004280627,0.001599745,0.0114
1423.231,0.01065259,0.003445707,0.001637535,0.004209336,0.001574563,0.0109
1425.159,0.0103826,0.003478201,0.001229165,0.003871108,0.001208265,0.00979
1427.088,0.010124216,0.003508974,0.001243805,0.003688367,0.001092337,0.00953
1429.016,0.009696096,0.003540078,0.001463987,0.003274238,0.001319537,0.0096
1430.945,0.009631593,0.003775372,0.00135492,0.002883109,0.001317908,0.00933
1432.873,0.009305263,0.003686646,0.001216747,0.002982121,0.001117176,0.009
1434.802,0.008690589,0.003335339,0.001332021,0.002761331,8.83E-04,0.00831
1436.73,0.008208679,0.003299623,9.96E-04,0.00235634,8.56E-04,0.00751
1438.659,0.007952606,0.003613776,8.33E-04,0.00203827,0.001235794,0.00772
1440.587,0.007859736,0.00356512,0.001231715,0.001579211,0.001264361,0.00764
1442.516,0.007231382,0.003202774,0.001423524,0.0011954,9.70E-04,0.00679
1444.444,0.006904862,0.003085458,0.001216355,0.001169002,0.001033182,0.0065
1446.373,0.006646259,0.003152371,0.001420278,0.001514294,8.44E-04,0.00693
1448.301,0.006421829,0.003479365,0.00143577,0.001160473,6.12E-04,0.00669
1450.23,0.006314615,0.003331829,0.001357293,8.17E-04,6.28E-04,0.00613
1452.158,0.006248705,0.003015203,0.001418724,9.86E-04,7.68E-04,0.00619
1454.087,0.005978142,0.003193176,0.001633828,9.42E-04,6.41E-04,0.00641
1456.015,0.005689122,0.00316848,0.001555686,6.21E-04,6.75E-04,0.00602
1457.944,0.005204228,0.002878444,0.001397949,4.21E-04,7.96E-04,0.00549
1459.872,0.004402818,0.002814398,0.001494263,3.99E-04,7.44E-04,0.00545
1461.801,0.003914135,0.002702571,0.001273688,1.76E-04,4.05E-04,0.00456
1463.729,0.003455665,0.002176929,8.83E-04,1.88E-04,4.02E-04,0.00365
1465.658,0.003080091,0.001851008,5.97E-04,9.35E-05,4.49E-04,0.00299
1467.586,0.003001591,0.001775356,6.84E-04,-7.39E-05,4.64E-04,0.00285
1469.515,0.002680118,0.00140761,4.73E-04,-9.36E-05,6.30E-04,0.00242
1471.443,0.002262508,0.001244464,2.20E-04,-8.69E-05,6.64E-04,0.00204
1473.372,0.001907644,0.001239492,2.14E-04,1.25E-04,5.47E-04,0.00212
1475.3,0.001876034,0.001052508,3.55E-04,1.52E-04,2.71E-04,0.00183
1477.229,0.001730081,8.03E-04,4.09E-04,2.15E-05,1.48E-04,0.00138
1479.157,0.001155941,6.34E-04,3.72E-04,2.05E-04,1.47E-04,0.00136
1481.086,9.00E-04,5.87E-04,2.32E-04,2.38E-04,1.12E-04,0.00117
1483.014,0.001029027,4.73E-04,6.99E-05,-4.64E-05,2.39E-04,7.36E-04
1484.943,0.001105064,2.66E-04,1.98E-04,-1.79E-04,2.02E-04,4.87E-04
1486.871,9.40E-04,-6.52E-05,3.49E-04,4.82E-06,-1.22E-05,2.76E-04
1488.8,8.89E-04,-2.51E-04,8.25E-05,2.11E-04,-1.32E-04,-8.91E-05
1490.728,9.70E-04,1.36E-04,5.24E-05,2.39E-04,5.96E-05,4.86E-04
1492.657,8.42E-04,5.19E-04,3.07E-04,-2.99E-05,3.14E-04,0.00111
1494.585,5.55E-04,3.95E-04,4.27E-04,-3.08E-04,2.11E-04,7.25E-04
1496.514,7.36E-04,2.39E-04,5.14E-04,-1.34E-04,3.94E-05,6.58E-04
1498.442,8.59E-04,-2.32E-05,2.97E-04,2.85E-04,1.57E-04,7.16E-04
1500.371,0.00121674,-1.71E-04,1.74E-04,4.24E-04,-3.59E-05,3.91E-04
1502.299,0.00151707,4.92E-05,7.19E-04,2.10E-04,-7.15E-05,9.06E-04
1504.228,0.001273466,-6.33E-05,0.001009912,-2.39E-05,-1.92E-04,7.31E-04
1506.156,0.001091076,-2.78E-04,0.001339711,-2.24E-04,-2.55E-04,5.84E-04
1508.085,0.001351033,3.59E-05,0.001631129,-3.15E-04,7.73E-05,0.00143
1510.013,0.001645603,1.09E-04,0.001961375,-8.36E-06,1.20E-04,0.00218
1511.942,0.002020879,-2.59E-05,0.002463103,4.44E-06,3.63E-05,0.00248
1513.87,0.002758349,-1.37E-04,0.003280039,-6.01E-05,1.12E-04,0.00319
1515.799,0.003851056,-1.76E-04,0.004040131,5.06E-04,2.22E-04,0.00459
1517.727,0.004835076,2.58E-04,0.005256891,7.71E-04,1.42E-05,0.0063
1519.656,0.006273122,3.37E-04,0.006710975,3.88E-04,-6.75E-05,0.00737
1521.584,0.007633772,9.75E-05,0.00773592,1.62E-04,1.63E-04,0.00816
1523.513,0.008418679,-2.28E-04,0.008395923,2.54E-04,1.20E-04,0.00854
1525.441,0.008357999,-1.06E-04,0.008338748,2.59E-04,3.52E-06,0.00849
1527.37,0.006620865,1.60E-04,0.007024872,1.62E-04,7.93E-05,0.00743
1529.298,0.005029825,3.77E-06,0.005349637,9.10E-05,-1.96E-04,0.00525
1531.227,0.004038112,-1.16E-04,0.004261109,-1.81E-04,-1.45E-04,0.00382
1533.155,0.002991882,-1.51E-04,0.003249798,-1.62E-04,1.00E-04,0.00304
1535.084,0.002098478,3.32E-05,0.002245308,3.61E-04,2.58E-04,0.0029
1537.012,0.001530898,1.29E-04,0.00139281,1.45E-04,1.94E-04,0.00186
1538.941,0.001088625,7.32E-06,5.66E-04,-1.49E-04,1.33E-04,5.57E-04
1540.869,4.59E-04,-2.57E-04,2.67E-04,-6.25E-05,1.52E-04,1.00E-04
1542.798,-7.41E-05,-4.45E-04,1.83E-04,-9.76E-05,-2.29E-04,-5.89E-04
1544.726,-3.43E-04,-1.85E-04,-8.88E-05,-1.50E-04,-3.15E-04,-7.38E-04
1546.655,1.45E-05,-5.56E-05,-2.55E-04,-4.11E-05,-1.07E-04,-4.58E-04
1548.583,-9.33E-05,-2.33E-04,-2.02E-04,-7.91E-05,1.46E-04,-3.68E-04
1550.512,-3.03E-04,-1.72E-04,-6.27E-05,1.88E-04,3.44E-04,2.97E-04
1552.44,-2.85E-04,4.27E-05,2.38E-05,2.46E-04,1.26E-04,4.38E-04
1554.369,-1.25E-04,-2.09E-04,-5.67E-05,3.20E-04,2.02E-04,2.56E-04
1556.297,-1.25E-04,-4.05E-04,-6.30E-05,3.17E-04,3.88E-04,2.38E-04
1558.226,-2.38E-04,-2.11E-04,-1.56E-04,3.86E-04,4.45E-04,4.63E-04
1560.154,-1.71E-04,5.81E-05,-1.92E-04,3.11E-04,4.06E-04,5.84E-04
1562.083,-4.70E-05,2.98E-05,-5.23E-05,1.42E-04,4.54E-04,5.73E-04
1564.011,2.11E-04,-7.79E-05,1.37E-04,-1.07E-05,6.88E-04,7.37E-04
1565.94,3.94E-04,2.66E-05,2.27E-04,-2.66E-04,8.82E-04,8.70E-04
1567.868,4.21E-04,1.66E-04,3.55E-04,-9.71E-05,8.11E-04,0.00124
1569.797,3.62E-04,1.64E-04,4.29E-04,1.79E-04,7.65E-04,0.00154
1571.725,3.29E-04,-4.11E-05,1.43E-04,1.03E-04,7.90E-04,9.95E-04
1573.654,1.38E-04,-3.50E-05,1.44E-04,-3.40E-04,0.001080625,8.49E-04
1575.582,3.11E-04,-7.36E-05,4.62E-04,-4.84E-04,0.001129582,0.00103
1577.511,5.66E-04,-4.43E-04,6.58E-04,4.19E-05,8.30E-04,0.00109
1579.439,3.67E-04,-1.09E-05,5.76E-04,1.69E-04,5.94E-04,0.00133
1581.368,-1.09E-05,4.01E-04,5.13E-04,1.02E-04,7.23E-04,0.00174
1583.296,5.18E-06,3.00E-04,3.63E-04,-5.10E-05,3.97E-04,0.00101
1585.225,2.45E-04,4.75E-05,2.51E-04,-3.36E-05,3.10E-04,5.74E-04
